"followup##gdid",project,"followup##payment_number","followup##daily_life_ubi_initial","followup##daily_life_ubi_repeated","followup##goals","followup##goals_ubi_repeated","followup##life_different","followup##life_different_future","followup##life_different_ubi_repeated"
gd-21311191,ubi_kenya,1,,,,,,,
gd-20998269,ubi_kenya,1,"The biggest difference is seeing my son continuing with his higher education without being interrupted by lack of school fees. I am really happy and confident  because I know I will be receiving these cash every month and therefore will channel it to the university.",,"I am really thinking of buying a sheep. I hope that with time this sheep will multiply and I will be able to sell it whenever I am faced with difficulties in life.",,"My life is currently different because unlike before, I am now stress free. I am happy because at least I assured that I will be able to keep my children at school as I continue working here at home.","I expect that I will be able to have a number of sheep in my homestead. I also expect that with time, my sheep will have multiplied and I will be able to sell and at  least buy a cow. This way,I will have improved and my life will have changed. I will be able to make sure all my children have finished school without being interrupted with school fees issues.",
gd-21195082,ubi_kenya,7,,"The biggest difference in my daily life is that I do no have to overwork now days in order to get money.",,"The new goal I now have is to buy a cow.",,"I expect my life to change in that I will have bought a cow.","My life currently is different since I do not go around any more looking for some casual work to do."
gd-24619085,ubi_kenya,1,"The biggest difference in my daily life is that l am now staying in a spacious comfortable house as compared to before when l was staying in a very small uncomfortable house.",,"My new goal is to start cattle farming as my future investment.",,"Had l never received the transfer from GD l could not have manage to build a spacious house, l could still be staying in a very small uncomfortable house.","In the next six months l will have started my project of cattle farming.",
gd-22293704,ubi_kenya,1,"I am able to save because I receive money every month in addition to what we usually get and this has encouraged me that my life goals can be achieved.",,"In addition to the goals I had earlier, I would want to take my child to school up to university level.",,"I have confidence of facing my challenges because I know I will be able to have money to meet my life needs.","In the next coming months, I would want to build a new house, to start up a business and to buy some cows which can help me later in other financial needs.",
gd-24855377,ubi_kenya,1,"The greatest difference in my life is that now I can have a peaceful night after getting these money I can afford to sleep having something to eat in my house and having a good shelter.",,"The new goal which at the moment is to have a cow so that we can stop buying milk for use. For so long we have been buying milk  and this has costed me a lot as I can spent KES 100 daily on the same which rather if I would have my own cow I would have save the same amount for other personal use.",,"My life would have been so difficult if not with the help which I got from GD. I spent it to meet some of my needs which include good shelter which I put up after receiving the GD funds.","In the next six months I expect my life to have change as am planning to buy a cow and do paddocking in my farm. I would expect to live like others who are well off having milk for use and for sale.",
gd-21782417,ubi_kenya,2,"The biggest difference in my daily life is that being the sole provider for my family and just a motor cycle rider with low income, GD payments have made it possible for me to plan to pay Compulsory Meal charges for my 2 children who are students in Secondary school with ease since they pay a total of 2,000 KES per month. For this I am very thankful, so I plan to divert what I make to some other use.",,"My new goal is to buy small livestock.",,"My life is currently different in that my stress level is slightly reduced.","In the next six months I expect my life to change since I am hiring an ox-plough, which translates to more efficient food production and hopefully more food.",
gd-21185479,ubi_kenya,1,,,,,,,
gd-22464036,ubi_kenya,1,"The biggest difference in my daily life since I started receiving this transfer is that I am now stronger because I get enough quality food that I buy using these transfers. I able to take care of my farms or do other casual jobs that earn me more money without any problems.
I am more independent now and rely less on my children for monetary support.",,"My new goal is to buy enough iron sheets over the next months to replace my leaking roof,then I can save to buy cement to renovate the entire house.",,"The difference in my life currently since I received this transfer is that I am able to take care of my needs whenever I want because I have money of my own.Before I would depend on children for everything.","In the next six months, I expect to have replaced my leaking roof and be living a better life because I will be getting money every month to buy food and never go hungry.",
gd-21009909,ubi_kenya,8,,"The biggest difference in my daily life is happiness.",,"The only goal I now have is to buy calf.",,"I expect my life to change in that I will have bought a calf.","My life currently is different since I now live in an iron thatched house."
